2025-01-24 06:17:45,220 - __main__ - ERROR - The connection is not valid! - code is 403
2025-01-24 06:17:45,220 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-24 06:17:46,872 - __main__ - ERROR - The connection is not valid! - code is 403
2025-01-24 06:17:46,872 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-24 09:13:24,830 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-24 09:13:26,593 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-24 12:23:58,764 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-24 12:24:01,076 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-24 21:11:10,060 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-24 21:11:11,924 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-24 22:11:29,586 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-24 22:11:31,502 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-24 23:11:52,083 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-24 23:11:53,952 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 00:56:48,028 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 00:56:49,959 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 03:12:38,769 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 03:12:40,706 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 06:15:56,779 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 06:15:59,060 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 09:12:30,257 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 09:12:32,644 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 12:21:04,313 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 12:21:06,616 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 21:10:25,841 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 21:10:27,708 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 22:12:17,610 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 22:12:19,938 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 23:12:26,399 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-25 23:12:28,720 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 01:02:02,183 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 01:02:04,691 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 03:14:43,942 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 03:14:46,022 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 06:15:54,525 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 06:15:56,714 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 09:12:07,951 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 09:12:10,023 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 12:21:17,830 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 12:21:19,907 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 21:10:51,263 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 21:10:53,065 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 22:10:41,340 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 22:10:43,847 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 23:11:02,322 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-26 23:11:04,779 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 01:01:21,103 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 01:01:22,947 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 03:15:29,236 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 03:15:31,255 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 06:18:23,228 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 06:18:25,452 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 09:14:38,217 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 09:14:40,159 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 12:24:58,869 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 12:25:01,335 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 21:12:07,936 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 21:12:09,998 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 22:12:07,466 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 22:12:09,490 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 23:12:03,568 - __main__ - INFO - 제11전투비행단 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
2025-01-27 23:12:05,736 - __main__ - INFO - 11전비 검색어로 더이상 검색된 뉴스결과가 없으므로, 프로그램을 종료합니다
